uuid,className,name,displayName
_43beIGPJEeGWCZyJEMpjHQ,Group,GROUP-VirtualApplication,Virtual Applications
_BZGNoVDXEd-aD7K-5rgLZQ,Group,GROUP-ApplicationByPhysicalMachine,By Physical Machine
_XPGNonrsED-aD23-5rgLZQ,Group,GROUP-ApplicationByType,By Type
_S4k9-SFQEd-S4dn3K4_ZZA,Group,GROUP-ApplicationServer,Application Servers
_XPGNonrsED-aD23-5rzZZQ,Group,GROUP-ApplicationServerByType,Application Server by Type
_H4E8cdGIRWyL4n6P4xXXAQ,Group,GROUP-DatabaseServer,Databases
_rX4Wn2q0R5qdx83DPWcBVA,Group,GROUP-DatabaseByType,DatabaseServer by Type
_wK4GWWTbEd-Ea97W1LbBST,Group,GROUP-SWGroups,SW Groups
_wK5GWWTbEd-Ea97W1LbBST,Group,GROUP-IOGroups,IO Groups
_GDkjwPzvEeaJzalfGdwPOg,Group,GROUP-LPGroups,LP Groups
_wK4GWWTbEd-Ea97W1LbBSS,Group,GROUP-DAGroups,DA Groups
_wK4GWWTLEd-Ea97W1LbBST,Group,GROUP-CHGroups,CH Groups
_wK4GWWTbEd-Ea97W1LbBSP,Group,GROUP-PMGroups,PM Groups
_wK4GWWTbEd-Ea97W1LbBSZ,Group,GROUP-STGroups,Storage Groups
_wK4GWWTbEd-Ea97W1LbBSR,Group,GROUP-VMGroups,VM Groups
_wK4GWWTbEd-Ea97W1LbBad,Group,GROUP-ContainerGroups,Container Groups
_wK4GWWTbEd-Ea97W1LbBat,Group,GROUP-ContainerPodGroups,ContainerPod Groups
_wK4GWWTbEd-Ea97W1fNhs6,Group,GROUP-VCImportedGroups,Folders
_yMADkAblEeGxyJIJTSApQQ,Group,GROUP-ProviderVDCs,Provider Virtual Datacenters
_yMADkAblEeGxyJIJTSApQP,Group,GROUP-ConsumerVDCs,Consumer Virtual Datacenters
_yMADkAblEeGxyJIJTSArJP,Group,GROUP-OtherConsumerVDCs,Children Consumer Virtual Datacenters
_B1p5AAbmEeGhWLLw4sc9uw,Group,GROUP-AllVDCs,All Virtual Datacenters
_B1p5AAbmEeGhWLLw4sc9ux,Group,GROUP-AllDesktopPools,All Desktop Pools
_wK4GWWTbEd-Ea97W1LbBSQ,Group,GROUP-OtherGroups,Groups
_H7Z4gLdrEd-mCae6xGzCQQ,Group,GROUP-PM_Parent,
